Subdivision Name,Abbreviation
Belleview Heights,BH
Belleview Heights Estates,BHE
Belleview Hills Estates,BVHE
Belleview Ridge Estates,BRE
Caldwells Add to Ocala,CAO
Candler Hills,CH
Cherrywood Estate/Estates,CWE
Circle Square,CS
Circle Square Ranches,CSR
Circle Square Woods,CSW
City of Belleview,COB
City of Dunnellon,COD
City of Ocala,COO
Coral Ridge,CR
Country Club of Ocala,CCOO
D&J Campsites # Ocala Nat'l Forest,DJC#ONF
Del Webb Spruce Creek Golf & Ctry Club,DWSCGCC
Diamond Ridge,DR
Florida Orange Grove,FOG
Florida Orange Grove Corp,FOGC
Fore Ranch,FR
Fox Meadow,FM
FWS at SSS Condo No 4 (any #),FSSSC4
Golden Hills,GH
Golden Hills Golf & Country Club,GHGCC
Golden Hills Golf & Turf Ctry Club,GHGTCC
Golden Hills Turf & Country Club,GHTCC
Golden Meadows Estates,GME
Golf Park,GP
Heathbrook / Heath Brook,HB
James McIntosh Subdivision,JMS
Kingsland Country Estates,KCE
Kingsland Ctry Ests Forest Glenn,KCEFG
Kingsland Ctry Ests Whisp Pines,KCEWP
Lake Diamond Golf & Country Club,LDGCC
Lake Tropicana Ranchettes,LTR
Lake Weir,LW
Lake Weir Garden / Gardens,LWG
Lake Weir Heights,LWH
Lake Weir Shores,LWS
Lake Weir Village / Villages,LWV
Land O Lakes Estates,LOLE
Leeward Air Ranch,LAR
Little Lake Weir,LLW
Little Lake Weir Subdivision,LLWS
Majestic Oaks,MAJO
Marion Landing,ML
Marion Oaks,MO
Meadow Glenn,MG
Meadow Ridge,MR
Meadowbrook / Meadow Brook,MB
MeadowView / Meadow View,MV
Meadowwood / Meadow Wood,MW
Oak Run,OR
Oak Run Neighborhood,ORN
Ocala Airport Commerce Center,OACC
Ocala Estates,OE
Ocala Heights,OCH
Ocala Highlands,OH
Ocala Highlands Estates,OHE
Ocala National Forest,ONF
Ocala National Forest Campsites,ONFC
Ocala Palms,OP
Ocala Park Estates,OPE
Ocala Preserves,OCP
Ocala Ridge,OCR
Ocala Thoroughbred Acres,OTA
Ocala Waterway Estates,OWE
On Top of the World,OTOW
On Top of the World Central Replat,OTOWCR
On Top of the World Central VestArea,OTOWCVA
On Top of the World Communities Inc,OTOWCI
Orange Blossom,OB
Orange Blossom Hills,OBH
Paddock Park,PP
Palm Cay,PC
Pine Ridge Estates,PRDE
Pine Run,PR
Pine Run Estates,PRE
Preserve Ests Wlnd RVPK Ests Condo,PEWRPEC
Quail Meadow / Meadows,QM
Quail Ridge,QR
Rainbow Acres,RA
Rainbow End Estates,REE
Rainbow Lakes Estates,RLE
Rainbow Park,RP
Rainbow River Acres,RRA
Rainbow Springs,RS
Rainbow Springs Country Club Estates,RSCCE
Rolling Hills,RH
Rolling Ranch Estates,RRE
Saddle Creek,SCK
Salt Springs Resort,SSR
Silver Downs,SD
Silver Meadows,SM
Silver Springs,SS
Silver Springs Acres,SSA
Silver Springs Shores,SSS
Smith & Daughertys Addition to Ocala,SDAO
Spruce Creek,SC
Spruce Creek Country Club,SCCC
Spruce Creek Golf & Country Club,SCGCC
Spruce Creek North,SCN
Spruce Creek Preserve,SCP
Spruce Creek South,SCS
Stone Creek by Del Webb,SCBDW
Stone Crest/ StoneCrest,SCT
Summerglen / Summer Glen,SG
Town Park Wilderness RV Park Ests Condo,TPWRPEC
Twin Lakes Ranchettes,TLR
Twin Lakes Vlg East Condo,TLVEC
Twin Lakes Vlg North Condo,TLVNC
Twin Lakes Vlg South Condo,TLVSC
Twin Lakes Vlg West Condo,TLVWC
Vlg Pk Wldn RV Pk Ests Condo,VPWRPEC
Villages of Marion,VOM
Virmillion Estates,VE
West End Addition to the City of Ocala,WEAO
West End Ocala,WEO
Westwood,WW
Woodland Villages,WV
Woodlands at Bellechase,WAB
Woods & Lakes,WAL
Woods & Meadows,WAM
